site_code,node,site_name,site_type,site_description
SKAM,JDA,"Skamania Hatchery, WDFW",MRR,Hatchery
SKIPAR,JDA,Skipanon River,MRR,River
SKIPAW,JDA,Skipanon Waterway,MRR,River
SND,JDA,Sandtrap Acclimation Site,INT,"Three antennas are installed in the outflow channel of the East Fork Irrigation District’s Sandtrap facility, which returns water and fish bypassed at irrigation ditch screens to the East Fork Hood River. The Sandtrap is also used as an acclimation and release site for hatchery winter steelhead smolts."
SNDTAP,JDA,"Sandtrap Acc. Ponds, EF Hood River",MRR,AcclimationPond
SNYDEC,JDA,"Snyder Creek, Klickitat River",MRR,River
SPRC,JDA,Spring Creek National Fish Hatchery,MRR,Hatchery
SSANTR,JDA,"South Santiam River, Oregon",MRR,River
SUC,JDA,"Summit Creek, Klickitat",INT,"The Summit Creek PIT tag interrogation array is located in Summit Creek, a tributary to the Klickitat River, Klickitat County, Washington.  The PIT tag array is located approximately 400 m upstream from the confluence with the Klickitat River.  The site consists of two channel spanning arrays (2 x 1 antenna configuration).  Each array spans a width of 4.5 m.  Two IS1001 ACN nodes (in a master/slave configuration) were deployed to interrogate and record data of PIT tagged fish detected by the array.  Directions to the site from Glenwood, WA are as follows.  Head east on the Glenwood Hwy from Division St. 11.7 mile and turn left onto Trout Creek Rd.  Drive 3.4 miles and turn turn right onto BIA Road 207.  Drive 0.20 miles and park at the shoulder along the right side of the road.  Take trail approximately 150 feet to Summit Creek."
SUJ,JDA,Sullivan Dam Juvenile,INT,The Sullivan Dam smolt bypass trap is located in the Sullivan Dam powerhouse (operated by PGE) at Willamette Falls on the Willamette River. Site is no longer active.
SUL,JDA,"Sullivan Hydroelectric Plant, Willamette Falls",MRR,Dam
SULBPS,JDA,SUL - Release into the PIT-Tag Diversion System between the Diversion Gate and the furthest downstream PIT-Tag Detector,MRR,IntraDamReleaseSite
SULBYP,JDA,SUL - Release into the Facility Bypass Flume/Pipe,MRR,IntraDamReleaseSite
SULFBY,JDA,SUL - Release into the Forebay within 0.5 km upstream of Dam,MRR,IntraDamReleaseSite
SULFDS,JDA,SUL - Release above the Fish Diversion Screen,MRR,IntraDamReleaseSite
SULSEP,JDA,SUL - Release into the Flume downsteam of the Collection/Bypass Gate or into the Separator,MRR,IntraDamReleaseSite
SULTRB,JDA,SUL - Release into Turbine(s),MRR,IntraDamReleaseSite
SUMI3C,JDA,"Summit Creek, Klickitat River Basin",MRR,River
SWALEC,JDA,Swale Creek - tributary to Klickitat River,MRR,River
SWC,JDA,Swale Creek Array,INT,"The Swale Creek PIT tag interrogation array is located in Swale Creek, a tributary to the Klickitat River, Klickitat County, Washington.  The PIT tag array is located approximately 100 m upstream from the confluence with the Klickitat River.  The site consists of three channel spanning arrays (3 x 2 antenna configuration).  Each array spans a width of 12 m.  An MTS controller and 6 IS1001 ACN nodes were deployed to interrogate and record data of PIT tagged fish detected by the array.  Directions to the site from the Columbia River are as follows.  Turn onto Hwy 142 from Hwy 14.  Turn right onto Horseshoe Bend Rd. from Hwy 142 at road mile 16.5.  Drive a 0.10 miles and turn left on to Wahkiakus Park Rd.  Park at the end of the road (approximately 150 m).  Site is located approximately 60 m upstream from parking area."
SYC,JDA,Snyder Creek PIT Tag Array,INT,"The Snyder Creek PIT tag interrogation array is located in Snyder Creek, a tributary to the Klickitat River (RKM 22.8) (Klickitat County, Washington). The PIT tag array is located approximately 1.3 kilometers upstream from the confluence with the Klickitat River. The site consists of two 6.1 meter channel spanning arrays (one upstream and one downstream). The antennas are fixed to the substrate in a pass-over configuration. Two IS 1001 Antenna Control Nodes (ACN’s) in master/secondary master configuration, operate two antennas and record PIT tagged fish detected by the array. The site is powered by 6 12 volt batteries and has no charging infrastructure. Directions to the PIT array site from the mouth of the Klickitat at the Columbia River are as follows: Turn north onto HWY 142 from HWY 14. Proceed north on HWY 142 14 miles to an unmarked gravel road on the left side of the HWY just passed the 14 mile marker. From this point, proceed 0.2 miles to a gate. From this gate, proceed another 0.7 miles to another gate. From this gate, proceed 0.2 miles to arrive at the PIT array site."
TANNEC,JDA,"Tanner Creek, Columbia River below Bonneville Dam",MRR,River
TBRKFK,JDA,"Table Rock Fork, tributary to Molalla River",MRR,River
TC4,JDA,Trout Creek at 43 Road Bridge,INT,"An instream interrogation system consisting of two antenna arrays at rkm 11.0 of Trout Creek, a tributary of the Wind River, WA. The site is at the bridge where Forest Road 43 crosses Trout Creek. Each antenna array has three 20-foot antennas covering a total of 60 feet, which spans the wetted area of the stream at most flows. The transceiver is a FS1001M. Power is provided by solar panels charging a battery bank. Downloads are manual and typically done during weekly site visits, though that interval may be longer during winter due to snow."
TCM,JDA,Tryon Creek Mouth,INT,TCM is an in-stream detection system consisting of four PIT arrays about 25 meters apart located near the mouth of Tryon Creek in Lake Oswego. Each array consists of one antenna that spans the creek width during normal flows. All arrays are oriented as pass through antennas except for F2 which is a pass over. Site is no longer active.
TD1,JDA,The Dalles East Fish Ladder,INT,This site monitors the east fish ladder at The Dalles Dam. Two antennas are installed at the counting window where the channel is narrowed to allow fish to be seen through the counting window.
TD2,JDA,The Dalles North Fish Ladder,INT,This site monitors the north fish ladder at The Dalles Dam. Two antennas are installed at the counting window where the channel is narrowed to allow fish to be seen through the counting window.
TDA,JDA,The Dalles Dam,MRR,Dam
TDAICE,JDA,TDA - Release into the Ice/Trash Sluiceway,MRR,IntraDamReleaseSite
TDAMRT,JDA,TDA - Mortality Recovery,MRR,IntraDamReleaseSite
TDASPF,JDA,TDA - Release into the Forebay within 0.5 km upstream of Spillway,MRR,IntraDamReleaseSite
TDASPL,JDA,TDA - Release directly into Spill Bay(s),MRR,IntraDamReleaseSite
TDASPT,JDA,TDA - Release into the Tailrace within 0.5 km downstream of Spillway,MRR,IntraDamReleaseSite
TDATAL,JDA,TDA - Release into the Tailrace within 0.5 km downstream of Dam,MRR,IntraDamReleaseSite
TDATRB,JDA,TDA - Release into Turbine(s),MRR,IntraDamReleaseSite
TDBPAT,JDA,BPA towers in The Dalles Dam forebay,MRR,AvianColony
TDLPI,JDA,Lone Pine Island and associated unnamed islands near The Dalles Dam,MRR,AvianColony
TDTMI,JDA,Three Mile Island group near The Dalles Dam,MRR,AvianColony
TENNAI,JDA,"Tenasillahe Island, lower Columbia River",MRR,Other
TEPEEC,JDA,"Tepee Creek, Klickitat River Basin",MRR,River
TEPEEF,JDA,"East Fork Tepee Creek, Klickitat River Basin",MRR,River
TOUT,JDA,"North Toutle Hatchery, WDFW",MRR,Hatchery
TOUTLR,JDA,Toutle River,MRR,River
TOUTNF,JDA,North Fork Toutle River,MRR,River
TR1,JDA,Lower Trout Cr - Deschutes,INT,Lower Trout Creek PIT tag array is located at RKM 0.7 upstream from the confluence with the Deschutes River on privately owned land.  This site consists of six 20ft long lay flat antennas. The antennas are orientated with 2 antennas orientated end to end to make up three 40 foot wide antenna rows spaced 10 feet apart to ascertain directionality of fish. Antenna number orientation is based on facing upstream. The furthest upstream antenna on the left is antenna number 1 the furthest upstream antenna on the right is number 2. Middle row left antenna is number 3 Middle row right antenna is number 4. Bottom (furthest downstream) row left antenna is number 5 and bottom right antenna is number 6.
TR2,JDA,Trout/Antelope Cr - Deschutes,INT,Trout and Antelope Creek PIT tag array is located at RKM 20.7 upstream from the confluence with the Deschutes River on privately owned land. This site consists of six 20ft long lay flat antennas. The antennas are orientated with 3 antennas in Trout Creek and 3 antennas in Antelope Creek. In each creek the antennas are staggered in the active channel about 10 feet apart to ascertain directionality of fish. Antenna number 1 is the furthest upstream antenna and number 3 the bottom antenna on Trout Creek. On Antelope Creek the upstream antenna is number 4 and the downstream is number 6.
TRA,JDA,Trout Creek Auxillary Site,INT,"An instream interrogation site in Trout Creek, WA at rkm 2. This system has one 11 ft antenna (01) as the upstream array and one 20 ft antenna (02) as the downstream array. Both antennas have IS1001 transceivers operated by an IS1001 MC on grid power. Transceiver ID is 0A.  This site is in close proximity to TRC (about 150 m downstream) and its primary purpose is to provide additional data to estimate detection efficiency of downstream moving Steelhead parr at TRC. This site will also provide additional detections of both juvenile and adult Steelhead for life history and population studies."
TRC,JDA,"Trout Creek, Wind River",INT,"The Trout Creek interrogation system is located at river km 2 on Trout Creek, in the Wind River (WA.) Basin above Hemlock Lake. The site was originally installed and maintained by USGS and located at river km 4; operational responsibilities were transferred to WDFW in December, 2009. USGS resumed operational responsibilities and moved the site 2 km downstream in October 2012. The antenna configuration remained the same, with three arrays of two 20-ft antennas each."
TROU2C,JDA,"Trout Creek, Deschutes River Watershed",MRR,River
TROUTC,JDA,"Trout Creek (trib. to Wind River, Wash.)",MRR,River
TRYOC,JDA,"Tryon Creek, tributary to Willamette River",MRR,River
TSUGCR,JDA,"Tusgawa Creek, tributary to Mason Creek",MRR,River
TTOWER,JDA,"Transmission towers near Troutdale, OR",MRR,AvianColony
TURNCR,JDA,"Turner Creek, tributary to Coweeman River",MRR,River
TWX,JDA,Estuary Towed Array (Exp.),INT,"The TWX site is located in the upper Columbia River estuary, between Eagle Cliff (rkm 84) and the west end of Puget Island (rkm 66). This site is sampled annually by NOAA Fisheries during the spring and summer outmigration of juvenile salmonids. There are currently two detection systems in use. The trawl, operated since 1995, is a surface pair-trawl with a matrix of six rectangular antennas fitted into the cod end of the net. The matrix is configured with three parallel antennas in front and three in the rear, forming a corridor that allows fish to pass through while being detected by the antennas. The flexible antenna system was developed in 2015 and is a modular array, consisting of up to twelve rectangular antennas, connected side-by-side in a vertical orientation. These are constructed of manufactured antenna cable and are also towed between two vessels. These two systems operate 3-7 days per week from mid March to mid June. An experimental barge system consisting of 12 vertical FIN antennas was tested in 2018, but removed for the 2019 season."
VIENTC,JDA,"Viento Creek, Columbia River Gorge (OR)",MRR,River
WAHA,JDA,"Washougal Hatchery, WDFW",MRR,Hatchery
WALLIS,JDA,"Wallace Island, lower Columbia River near Clatskanie, OR",MRR,Other
WARMSR,JDA,"Warm Springs River, Deschutes River Watershed",MRR,River
WASHOR,JDA,Washougal River,MRR,River
WASHWF,JDA,West Fork Washougal River,MRR,River
WFF,JDA,Willamette Falls Fishway,INT,Willamette Falls Adult Fishway Site is no longer active.
WHC,JDA,"Lwr White Creek, Klickitat Bsn",INT,"This is an instream interrogation system in White Creek (Klickitat River Basin) approximately 150 meters upstream from the mouth, consisting of six pass-over antennas (2 upstream, 2 midstream, and 2 downstream) spanning the normal stream channel."
WHEELC,JDA,"Wheeler Canyon, tributary to Klickitat River",MRR,River
WHITEC,JDA,"White Creek, Klickitat River Basin",MRR,River
WHITSR,JDA,White Salmon River,MRR,River
WHITWF,JDA,"West Fork White Creek, Klickitat River Basin",MRR,River
WILL,JDA,Willard National Fish Hatchery,MRR,Hatchery
WILLR,JDA,Willamette River (Archaic - replaced with reach-specific definitions),MRR,Archaic
WILLR1,JDA,Willamette River - mouth to Willamette Falls (km 0-43),MRR,RiverSegment
WILLR2,JDA,Willamette River - Willamette Falls to Santiam River (km 43-175),MRR,RiverSegment
WILLR3,JDA,Willamette River - Santiam River to the confluence of the Middle and Coast forks of the Willamette River (km 175-301),MRR,RiverSegment
WILRMF,JDA,Middle Fork Willamette River,MRR,River
WIND2R,JDA,"Wind River, Washington",MRR,River
WLCHIS,JDA,"Welch Island, Lower Columbia",MRR,Other
WLT,JDA,Walterville Fish Bypass Exit,INT,The screened Walterville Fish Bypass is located 17 miles east of Eugene on the McKenzie River. The bypass is owned by Eugene Water & Electric Board and is used to divert fish before the water goes through the Walterville Dam. The site consists of pass-through antennas at the end of the exit pipe where the fish are returned to the McKenzie River. Site is no longer active.
WOODIS,JDA,"Woody Island, Columbia River Estuary",MRR,Other
WRA,JDA,Upper Wind River Auxillary,INT,"An instream interrogation site in the Wind River, WA at rkm 27. This system has one array comprised of two 11 ft antennas and one 20 ft antenna that span the thalweg with a IS1001MC and three IS1001s. Transceiver ID is 0B. Antennas from river left to right are 01, 02, and 03 This site is in close proximity to WRU (about 150 m downstream) and its primary purpose is to provide additional data to estimate detection efficiency of downstream moving Steelhead parr at WRU. This site will also provide additional detections of both juvenile and adult Steelhead for life history and population studies."
WRNFMF,JDA,"North Fork, Middle Fork Willamette River",MRR,River
WRP,JDA,Woodland Release Ponds,INT,The Woodland Release Ponds have four raceways paired in two ponds. Each pond has a single PIT tag antenna located in one of the last two (moveable) dam board slots. This site will be in operation to monitor volitional releases from the pond.
WRU,JDA,Upper Wind River (WA) rkm 30,INT,"An instream interrogation system on the Wind River, WA. In its original configuration the site was located at river kilometer 30 near the FR3065 bridge over the Wind River and had 6 antennas in two arrays. After a flood event in December 2015 damaged all but one of the antennas, the site operated sporadically until it was relocated in October 2016 to a location 2 km downstream of its original location and reinstalled with three 20ft antennas. In September 2017, a 2nd array of three antennas was added to the site. In September of 2022, the three antennas in the downstream array were replaced with four 10ft and one 20ft antenna."
WSH,JDA,Warm Springs Hatchery,INT,"Originally installed in 2008 with two antennas powered by an FS1001M multiplexor, this site monitors the adult fishway at Warm Springs National Fish Hatchery. In April 2018, the mux was replaced with an IS1001 master controller and dual detection mode was enabled. In June 2018, a third antenna was added to the site to monitor the lamprey passage system."
WSPH,JDA,Warm Springs National Fish Hatchery,MRR,Hatchery
WSR,JDA,Warm Springs River PIT Array,INT,"The Warm Springs River PIT tag array is a ninety foot array, consisting of four 20-foot and one 10-foot flat panel array installed end-to-end across the entire river channel. The array was installed during the week of August 4, 2014 by BIOMARK and CTWSRO personnel. The array is powered by a propane fueled thermo-electric generator."
WSRAHT,JDA,Warm Springs River Rotary Screw Trap Above Hatchery,MRR,TraporWeir
WSRMKN,JDA,Warm Springs River McKinley Arthur Screw Trap,MRR,TraporWeir
WYCHUC,JDA,"Wychus Creek, Upper Deschutes River Basin",MRR,River
WZDF,JDA,"Wizard Falls Hatchery, ODFW",MRR,Hatchery
YOUNGB,JDA,"Youngs Bay, tributary to the Columbia River",MRR,River
LMC,LMC_D,Lower Manastash Creek,INT,"LMC is located in Manastash creek 1.4 miles above the confluence to the Yakima river, 80M above the bridge at Barnes Rd. All equipment was purchased by the Kittitas County Conservation District directly from Biomark. Site was installed and will be managed by WDFW personnel. Initial configuration of the site included 3-20ft, Biomark Lite antennas, each spanning the wetted width of the creek. Antenna 1 is upstream, 2 middle, and 3 is the downstream antenna. Antennas 2 and 3 were damaged February 2016 and were replaced in February 2017 with 24 x 8 ft pass-through antennas constructed with 1 inch PEX. Ten inch posts were used on the bottom of the creek to create a backbone for the antennas.  The posts are secured to the substrate with MR-4 anchors.  The sides of the antennas are secured using anchors on an exposed bank, clamps on trees and one t-post for antenna 3.  Antennas 2 and 3 have a complete field of detection with 24 inches of read range off the coil.  Each antenna is connected to a submersible IS1001 antenna control node which are anchored to the bank. The exciter cable runs 120ft upstream along the left bank to the IS1001-MTS, secured in an enclosure. Grid power is being used to charge the 4-12V batteries located in a Jo-Box under the enclosure."
LMC,LMC_U,Lower Manastash Creek,INT,"LMC is located in Manastash creek 1.4 miles above the confluence to the Yakima river, 80M above the bridge at Barnes Rd. All equipment was purchased by the Kittitas County Conservation District directly from Biomark. Site was installed and will be managed by WDFW personnel. Initial configuration of the site included 3-20ft, Biomark Lite antennas, each spanning the wetted width of the creek. Antenna 1 is upstream, 2 middle, and 3 is the downstream antenna. Antennas 2 and 3 were damaged February 2016 and were replaced in February 2017 with 24 x 8 ft pass-through antennas constructed with 1 inch PEX. Ten inch posts were used on the bottom of the creek to create a backbone for the antennas.  The posts are secured to the substrate with MR-4 anchors.  The sides of the antennas are secured using anchors on an exposed bank, clamps on trees and one t-post for antenna 3.  Antennas 2 and 3 have a complete field of detection with 24 inches of read range off the coil.  Each antenna is connected to a submersible IS1001 antenna control node which are anchored to the bank. The exciter cable runs 120ft upstream along the left bank to the IS1001-MTS, secured in an enclosure. Grid power is being used to charge the 4-12V batteries located in a Jo-Box under the enclosure."
LMT,LMT_D,Lower Mainstem Teanaway River,INT,"The lower Teanaway pit tag array was installed in 2010 near the mouth of the Teanaway river, under the HWY 10 bridge .  The site had MUX with 2 rows of 3-20’ schedule 80 PVC antennas and used solar panels to generate power.  After an historic flow event in the fall of 2015 the decision was made to relocate the site to a more stable location and upgrade the equipment with more durable HDPE antennas and IS1001 readers and controller.  In October of 2018, the site was relocated 200’ below Lambert bridge, 5 miles east of Cle Elum Washington (47.174326, -120.836400).  The IS1001 MTS is powered by a 200 Ah 24V battery bank charged with a 24V, 8A Interacter charger which is connected to grid power.  There are two CAN bus trunk lines ~60’ long that are connected to the upper and lower rows of ACNs.  The submersible enclosures for the IS1001s were constructed by Yakama Nation Fisheries and consist of schedule 40 PVC with various fittings.  The submersibles were pressure tested to ensure a water tight enclosure.  They are located 8’ below each antenna and are daisy chained together.  Hydrovolt plugs are located between each submersible for the CAN bus cabling  and from submersible to antenna allowing each component to detatch under extreme flow conditions.  The CAN bus cabling is routed in a straight line 8’ below each row of antennas and is secured to 3/8” stainless steel cable using zip ties.  The stainless steel cable is secured to the substrate with MR-4 anchors, ~10’ apart.  Both rows of antennas consist of 3, 25’X30” HDPE flat plates constructed by Yakama Nation spanning the entire channel under most flow conditions.  The antennas are secured to the substrate using MR-4 anchors and a combination of NRS and ratchet straps. The site was installed in July 2018 by WDFW and Yakama Nation staff and started collecting data on 10/15/2018 at 13:15."
LMT,LMT_U,Lower Mainstem Teanaway River,INT,"The lower Teanaway pit tag array was installed in 2010 near the mouth of the Teanaway river, under the HWY 10 bridge .  The site had MUX with 2 rows of 3-20’ schedule 80 PVC antennas and used solar panels to generate power.  After an historic flow event in the fall of 2015 the decision was made to relocate the site to a more stable location and upgrade the equipment with more durable HDPE antennas and IS1001 readers and controller.  In October of 2018, the site was relocated 200’ below Lambert bridge, 5 miles east of Cle Elum Washington (47.174326, -120.836400).  The IS1001 MTS is powered by a 200 Ah 24V battery bank charged with a 24V, 8A Interacter charger which is connected to grid power.  There are two CAN bus trunk lines ~60’ long that are connected to the upper and lower rows of ACNs.  The submersible enclosures for the IS1001s were constructed by Yakama Nation Fisheries and consist of schedule 40 PVC with various fittings.  The submersibles were pressure tested to ensure a water tight enclosure.  They are located 8’ below each antenna and are daisy chained together.  Hydrovolt plugs are located between each submersible for the CAN bus cabling  and from submersible to antenna allowing each component to detatch under extreme flow conditions.  The CAN bus cabling is routed in a straight line 8’ below each row of antennas and is secured to 3/8” stainless steel cable using zip ties.  The stainless steel cable is secured to the substrate with MR-4 anchors, ~10’ apart.  Both rows of antennas consist of 3, 25’X30” HDPE flat plates constructed by Yakama Nation spanning the entire channel under most flow conditions.  The antennas are secured to the substrate using MR-4 anchors and a combination of NRS and ratchet straps. The site was installed in July 2018 by WDFW and Yakama Nation staff and started collecting data on 10/15/2018 at 13:15."
NFT,LMT_U,North Fork Teanaway River,INT,"This site is a permanent instream PIT tag detection system located at rkm 0.3 on the North Fork Teanaway River.  The site consists of six 25', 3"" HPDE antennas that span the wetted width of the river during most flow conditions.  Antennas are anchored to the substrate using MR4 earth anchors and NRS straps.  Each antenna is connected to an IS1001 antenna control node inside of a submersible enclosure.  The ACNs are daisy chained together with CANbus cable which is connected to an IS1001 master controller located ~150' away on the right bank.  Four solar panels are positioned in a open field to provide power to the site. Site was not operated between November 2015, when it was severely damaged, and May 2023, when it was reinstalled approximately 200 meters upstream of the original location."
NFTEAN,LMT_U,North Fork Teanaway River,MRR,River
TEANAR,LMT_U,Teanaway River,MRR,River
TEANWF,LMT_U,West Fork Teanaway River,MRR,River
UMT,LMT_U,Upper main stem Teanaway River,INT,"This site is a permanent instream PIT tag detection system located at rkm 19.5 on the upper main stem Teanaway river, just above the North Fork Teanaway confluence, near Cle Elum, WA. The site consists of a two rows of antennas, with six 20-foot antennas installed in flat plate configuration. The two rows of antennas extend 15 ft beyond the wetted width of the channel during base flows. The antennas were built and installed by WDFW. The site is connected to a thermal electric generator to power the transceiver. Site was decommissioned November 2015."
LNR,LNR,Lower Naches River,INT,"This site is a permanent instream PIT tag detection system located at rkm 5.3 on the lower Naches river, 700 meters below Nelson dam. Prior to 10/29/2018, the site consisted of one row of five 28 ft x 3 ft flexible antennas mounted to wooden 2 X 4 backbones and anchored to the riverbed with MR-4 anchors.  Due to extreme flow conditions in the Naches river, 3 inch HDPE antennas were constructed by Yakama Nation Fisheries to replace the flexible antennas. An IS1001 MTS was installed to replace the Qube.  The 3-wire cable was replaced with CAN bus with a 100 ft trunk line running to ACN #5.  All IS1001s are daisy chained together with hydrovolt plugs to allow removal/replacement of individual submersible enclosures and antennas.  Five 25 ft x 31 inch HDPE antennas were installed using the existing MR-4 anchors. Additional anchors were installed to secure the IS1001 enclosures that are anchored 8 ft below the row of antennas.  The site is powered with a 5060 Thermo-electric generator fueled with portable propane tanks."
LWC,LWC_D,Lower Wenas Creek,INT,"LWC is located in Wenas Creek about 2 RKMs upstream of the confluence with the Yakima River on property owned by the Bureau of Reclamation.  The site was constructed,  installed and  maintained by a collaborative effort between Yakama Nation Fisheries, Bureau of Reclamation and USFWS.  The site consists of three 20 ftx 8ft pass-through antennas that span the entire channel under most flow conditions.  Antennas and IS1001s are separated 8 ft and are connected using hydrovolt plugs. Pelican cases secure each IS1001 ACN on the left bank.  IS1001s are daisy chained together with CAN bus cable and hydrovolt plugs.  One CAN bus cable is connected to ACN #3 and is ~60 ft in length.  An IS1001 MTS is used to receive data from ACNs and is housed inside of a metal job box.  Solar panels and a 210 Ah battery bank are used to power the site."
LWC,LWC_U,Lower Wenas Creek,INT,"LWC is located in Wenas Creek about 2 RKMs upstream of the confluence with the Yakima River on property owned by the Bureau of Reclamation.  The site was constructed,  installed and  maintained by a collaborative effort between Yakama Nation Fisheries, Bureau of Reclamation and USFWS.  The site consists of three 20 ftx 8ft pass-through antennas that span the entire channel under most flow conditions.  Antennas and IS1001s are separated 8 ft and are connected using hydrovolt plugs. Pelican cases secure each IS1001 ACN on the left bank.  IS1001s are daisy chained together with CAN bus cable and hydrovolt plugs.  One CAN bus cable is connected to ACN #3 and is ~60 ft in length.  An IS1001 MTS is used to receive data from ACNs and is housed inside of a metal job box.  Solar panels and a 210 Ah battery bank are used to power the site."
MC1,MCN,McNary Oregon Shore Ladder,INT,This site monitors the Oregon shore fish ladder at McNary Dam with antennas in weir orifices below the counting window and two antennas at the counting window.
MC2,MCN,McNary Washington Shore Ladder,INT,This site monitors the Washington shore fish ladder at McNary Dam with antennas in weir orifices below the counting window and two antennas at the counting window.
MCJ,MCN,McNary Dam Juvenile,INT,"This site monitors the McNary Dam smolt bypass and sampling facility. The site operates seasonally for juvenile outmigration and includes antennas in the full flow bypass flume that is often active before and after the sampling facility each year. McNary was a transportation site until 2013. Separation by Code (SbyC) is available to allow researchers to selectively divert PIT-tagged fish. When transportation was conducted from McNary Dam, SbyC acted on all PIT-tagged fish by default to return them to the river, rather than be collected for transportation with untagged run-of-river fish. Researchers could use SbyC to override that default action and instead allow PIT-tagged fish to be treated like the untagged population."
MCN,MCN,McNary Dam,MRR,Dam
PRA,PRA_D,Priest Rapids Adult,INT,Priest Rapids Dam Adult Fishways (both)
PRO,PRO,Prosser Diversion Dam Combined,INT,This site monitors the (three) fish ladders and juvenile sampling facility at Prosser Dam. Each ladder has two antennas installed at the counting window. The juvenile sampling facility has antennas installed downstream of the separator and at the exit from the sample room.
PRO,PRO,"Prosser Diversion Dam, Yakima River",MRR,Dam
ROZ,ROZ,Roza Diversion Dam (Combined),INT,"This site monitors the fish ladder and part of the west roller-gate spillway at Roza Dam. Three antennas are in notched weirs of the fish ladder, which was previously monitored under site code RZF. One 5ft by 2ft flat plate antenna is installed on the overflow drum of the spillway."
ROZ,ROZ,Roza Dam,MRR,Dam
RZF,ROZ,Roza Dam Fishway,INT,Adult Fishway at Roza Dam
SAT,SAT_D,Lower Satus Creek,INT,"SAT is a passive in-stream interrogation system consisting of one row of 3 antennas and a second row of 2 antennas spanning the width of Satus Creek. The site is located approximately 1700 meters upstream from the confluence of Satus Creek with the Yakima River. The location is 900 meters east and 500 meters north of the intersection of State Route 22 and Satus Longhouse Road in Yakima County, Washington, within the Yakama Reservation. Antennas and enclosures were built and installed by Yakama Nation staff.  The antennas were secured to the substrate using MR4 anchors, NRS straps and ratchet straps.  IS1001 readers were placed inside of submersible enclosures and anchored to the substate 6-8ft below each antenna. The IS1001 ACNs are daisy chained together with CAN bus and routed back to a metal job box where the IS1001 MTS is located. The site is powered by a 5060 TEG."
SAT,SAT_U,Lower Satus Creek,INT,"SAT is a passive in-stream interrogation system consisting of one row of 3 antennas and a second row of 2 antennas spanning the width of Satus Creek. The site is located approximately 1700 meters upstream from the confluence of Satus Creek with the Yakima River. The location is 900 meters east and 500 meters north of the intersection of State Route 22 and Satus Longhouse Road in Yakima County, Washington, within the Yakama Reservation. Antennas and enclosures were built and installed by Yakama Nation staff.  The antennas were secured to the substrate using MR4 anchors, NRS straps and ratchet straps.  IS1001 readers were placed inside of submersible enclosures and anchored to the substate 6-8ft below each antenna. The IS1001 ACNs are daisy chained together with CAN bus and routed back to a metal job box where the IS1001 MTS is located. The site is powered by a 5060 TEG."
SM1,SM1_D,Simcoe Creek at Stephensen Rd,INT,Simcoe Creek at Stephensen road is located on Simcoe Creek the largest tributary to Toppenish Creek.  This tributary converges with Toppenish Creek at about River km 50.  The site is located about 100 meters downstream from the Stephensen Rd. bridge about 12 KM upstream from the mouth.  The array includes 2 (upstream and downstream) 20ft long Biomark Lite pass by antennas each spanning the entire width of the creek.  100 foot cables connect the antennas to the IS1001 readers.
SM1,SM1_U,Simcoe Creek at Stephensen Rd,INT,Simcoe Creek at Stephensen road is located on Simcoe Creek the largest tributary to Toppenish Creek.  This tributary converges with Toppenish Creek at about River km 50.  The site is located about 100 meters downstream from the Stephensen Rd. bridge about 12 KM upstream from the mouth.  The array includes 2 (upstream and downstream) 20ft long Biomark Lite pass by antennas each spanning the entire width of the creek.  100 foot cables connect the antennas to the IS1001 readers.
SUN,SUN_D,Sunnyside Instream Array,INT,"The Sunnyside instream PIT tag array is located 600M below Sunnyside dam on the Yakima river. The instream portion of the array consists of 16, 20ft PVC and HDPE flat plate antennas anchored to the substrate using M4 earth anchors. Antennas and enclosures were constructed by WDFW and Yakama Nation Fisheries. The upstream row has 8 antennas spanning the wetted width of the river during most flow conditions. The downstream row was initially installed with 3 antennas (09, 0A and 0B); the remaining 5 antennas were installed October 2016.  In July of 2018, all 8 antennas on the upper row were replaced with 4 inch, 20 ft HDPE flat plate antennas. The antennas are powered using ACN readers located just below the antennas in submersible enclosures. The Qube lite is located in a job box adjacent to a BOR building used for monitoring river conditions.  On 10/22/2018, the Qube was upgraded to a Qube 2.0. Grid power is used to run the site."
SUN,SUN_U,Sunnyside Instream Array,INT,"The Sunnyside instream PIT tag array is located 600M below Sunnyside dam on the Yakima river. The instream portion of the array consists of 16, 20ft PVC and HDPE flat plate antennas anchored to the substrate using M4 earth anchors. Antennas and enclosures were constructed by WDFW and Yakama Nation Fisheries. The upstream row has 8 antennas spanning the wetted width of the river during most flow conditions. The downstream row was initially installed with 3 antennas (09, 0A and 0B); the remaining 5 antennas were installed October 2016.  In July of 2018, all 8 antennas on the upper row were replaced with 4 inch, 20 ft HDPE flat plate antennas. The antennas are powered using ACN readers located just below the antennas in submersible enclosures. The Qube lite is located in a job box adjacent to a BOR building used for monitoring river conditions.  On 10/22/2018, the Qube was upgraded to a Qube 2.0. Grid power is used to run the site."
